"Actions","折扣方式"
"Active","激活"
"Add New Rule","创建新规则"
"Apply","优惠方式"
"Apply the rule only if the following conditions are met (leave blank for all products)","仅在以下条件下应用该规则(留空则对全部商品生效)"
"Apply the rule only to cart items matching the following conditions (leave blank for all items)","仅当购物车中的商品符合以下条件时应用该规则(留空则对全部商品生效)"
"Apply the rule to cart items matching the following conditions","如购物车中的商品符合以下条件可应用该规则"
"Apply to","应用于"
"Buy X get Y free (discount amount is Y)","买X送Y(优惠金额为Y)"
"By Fixed Amount","按固定金额降价"
"By Fixed value","固定价格"
"By Percentage","百分比"
"By Percentage of the Original Price","按原价的百分比降价"
"Cart Attribute","购物车属性"
"Catalog","目录"
"Conditions","生效条件"
"Conditions combination","条件组合"
"Coupon Code","优惠券编号"
"Coupon code","优惠券编号"
"Customer Groups","顾客分组"
"Customer is new buyer: %s","新顾客：%s"
"Customer registered: %s","已注册顾客：%s"
"Date Expire","有效期"
"Date Start","开始日期"
"Delete Rule","删除规则"
"Description","描述"
"Description: %s","描述： %s"
"Discount Qty Step (Buy X)","买满多少个商品可享受优惠"
"Discount amount","优惠金额"
"Edit Rule","修改规则""
Edit Rule '%s'"""
"Edit Rule '%s'","修改规则'%s'"
"Expire at: %s","有效期： %s"
"Fixed amount discount","固定金额优惠"
"Fixed amount discount for whole cart","固定金额优惠用于整个购物车"
"For matching items only","仅用于匹配商品"
"For shipment with matching items","匹配商品和配送方式"
"Free shipping","免运费"
"From Date","开始日期"
"General Information","基本信息"
"ID","编号"
"Inactive","未激活"
"Maximum Qty Discount is Applied to","最大数量优惠应用于"
"NOT LOGGED IN","尚未登录"
"Name: %s","名称： %s"
"New Rule","新规则"
"No","否"
"Payment Method","支付方式"
"Percent of product price discount","商品价格优惠百分比"
"Price in cart","购物车内的商品总价"
"Priority","优先级(数字越小优先级越高)"
"Product attribute combination","商品属性组合"
"Products subselection","商品子选择"
"Promotions","促销"
"Public In RSS Feed","发布 RSS Feed"
"Quantity in cart","购物车内的商品总数"
"Row total in cart","购物车内单个商品总额"
"Rule Information","规则信息"
"Rule Name","规则名称"
"Rule was successfully deleted","成功删除规则"
"Rule was successfully saved","成功保存规则"
"Save Rule","保存规则"
"Shipping Country","配送国家"
"Shipping Method","配送方式"
"Shipping Postcode","配送邮编"
"Shipping Region","配送地区"
"Shipping State/Province","配送省份"
"Shopping Cart Price Rule","购物促销规则"
"Shopping Cart Price Rules","购物促销规则"
"Special price","特价"
"Start at: %s","开始：%s"
"Status","状态"
"Stop further rules processing","停止处理其它规则"
"Subtotal","购买金额"
"The page you are trying to save no longer exists","要保存的页面不存在"
"This rule no longer exists","该规则不存在"
"To Date","结束日期"
"To Fixed Amount","降至固定金额"
"To Fixed Value","固定价格"
"To Percentage","百分比"
"To Percentage of the Original Price","降至原价的百分之几"
"Total Items Quantity","总数量"
"Total Weight","总重量"
"Unable to find a page to delete","无法找到要删除的页面"
"Update prices using the following information","根据以下规则更新价格"
"Update product's %s %s: %s","更新商品的%s %s：%s"
"Update the Product","更新商品"
"Yes","是"
"NOT LOGGED IN","未登录访客"
"Update Prices Using the Following Information","按照以下规则更新价格"
"Coupon","优惠券"
"Uses per Customer","每位顾客可使用的次数"
"Uses per Coupon","每张优惠券可使用的次数"
"Enable Discount to Subproducts","同时应用于子产品"
"Stop Further Rules Processing","禁止其他价格规则"
"Number of Uses","兑换数"
"No Coupon","不使用优惠券"
"Specific Coupon","使用特定优惠券"
"Use Auto Generation","使用自动生成编号"
"If you select and save the rule you will be able to generate multiple coupon codes.""如果您选择此项并保存规则将自动生成多个优惠券编号。"
"Discount Amount","折扣额度"
"Maximum Qty Discount is Applied To","购物车中享受优惠的最大商品数"
"Free Shipping","是否免运费"
"Apply to Shipping Amount","优惠价格是否包括运费"
"Labels","标签"
"Default Label","默认标签"
"Default Rule Label for All Store Views","所有商店界面默认标签"
"Store View Specific Labels","指定商店界面标签"
"Manage Coupon Codes","优惠券管理"
"Coupons Information","优惠券信息"
"Coupon Qty","优惠券数量"
"Code Length","编号长度"
"Code Format","编号格式"
"Code Prefix","编号前缀"
"Code Suffix","编号后缀"
"Dash Every X Characters","每几位字符自动分隔"
"Used","是否已使用"
"Times Used","使用次数"
"Alphanumeric","字母和数字"
"Alphabetical","字母"
"Numeric","数字"
"If an item is %s in the cart with %s of these conditions true:","如果购物车中 %s 以下商品，并且以下条件 %s 成立:"
"FOUND","包含"
"NOT FOUND","不包含"
"If %s %s %s for a subselection of items in cart matching %s of these conditions:","如果购物车有 %s %s %s 个商品满足下列条件的 %s:"
"total quantity","总数"
"Excluding prefix, suffix and separators.","不包括前缀、后缀和分隔符。"
"If empty no separation.","留空则无分割符"
"Use for Promo Rule Conditions","促销属性"
