" Copy"," 拷贝"
"Action","操作"
"Add New Template","创建新模版"
"Add to Queue","添加至队列"
"Are you sure that you want to delete this template?","您确定要删除此模版？"
"Are you sure that you want to strip all tags?","您确定要清除所有的标签？"
"Back","返回"
"Cancel","取消"
"Cancelled","已取消"
"Cannot delete subscriber","无法删除订阅人"
"Cannot delete template","无法删除模板"
"Cannot mark as received subscriber","不能标记为已订阅者"
"Cannot save your subscription: %s","无法保存订阅：%s"
"Confirmation Email Sender","确认发件人"
"Confirmation Email Template","确认邮件模版"
"Confirmation request has been sent","确认邮件已发出"
"Convert to Plain Text","转换至纯文本格式"
"Create Newsletter Template","创建邮件模版"
"Customer","客户"
"Customer Firstname","客户名字"
"Customer Lastname","客户姓氏"
"Date Added","创建日期"
"Date Updated","更新日期"
"Delete Selected Problems","删除被选的问题"
"Delete Template","删除模版"
"Do you really want to cancel the queue?","您确定要取消列队？"
"Duplicate of template code","模板代码重复"
"Edit Newsletter","编辑邮件"
"Edit Newsletter Template","编辑邮件模版"
"Edit Queue","编辑队列"
"Edit Template","编辑模版"
"Email","邮箱"
"Enter your email address","输入您的邮箱地址"
"Error Code","错误代码"
"Error Text","错误文字"
"Form was filled incorrectly","表格填写不正确"
"Guest","访客"
"ID","编号"
"Invalid queue selected","选择的队列不正确"
"Invalid subscriber ID","订阅人编号不正确"
"Invalid subscription ID","订阅编号不正确"
"Invalid subscription confirmation code","订阅确认码不正确"
"Message","内容"
"Need to Confirm","需确认？"
"New Newsletter Template","新添邮件模版"
"New Template","新模版"
"Newsletter","邮件列表"
"Newsletter Message Preview","邮件内容预览"
"Newsletter Problem Reports","邮件问题报告"
"Newsletter Queue","邮件列队"
"Newsletter Section","邮件单元"
"Newsletter Sign-up","注册邮件列表"
"Newsletter Subscribers","订阅名单"
"Newsletter Subscription","订阅"
"Newsletter Subscriptions","订阅"
"Newsletter Templates","邮件模版"
"Newsletter subscription confirmation","邮件订阅确认信"
"Newsletter subscription success","邮件订阅成功"
"Newsletter unsubscription success","邮件退订成功"
"No Templates Found","查找不到模版"
"No problems found","没有找到问题"
"No subscribers selected","没有选择订阅人"
"Not Sent","发送失败"
"Not activated","未激活"
"Pause","暂停"
"Paused","已暂停"
"Please enter a valid email address","请输入正确的邮件地址"
"Please enter new template name","请输入模版名称。"
"Please select subscriber(s)","请选择订阅者名单"
"Preview","预览"
"Preview Template","预览模版"
"Processed","已处理"
"Queue Date Start","队列日期开始"
"Queue Finish","队列结束"
"Queue Information","队列信息"
"Queue Newsletter","队列邮件列表"
"Queue Start","队列开始"
"Queue Subject","队列主题"
"Recipients","收件人"
"Reset","重置"
"Resume","继续"
"Return Html Version","返回Html版本"
"Save And Resume","保存并继续"
"Save As","另存为"
"Save Newsletter","保存邮件"
"Save Template","保存模版"
"Selected problem subscribers successfully unsubscribed","成功退订选择的有问题的订阅人"
"Selected problems successfully deleted","成功删除选择的问题"
"Sender","发件人"
"Sender Email","发件人邮箱"
"Sender Name","发件人名字"
"Sending","正在发送"
"Sending Options","发送选项"
"Sent","已发送"
"Set Return-Path","设置返回路径"
"Sign me up","注册"
"Sign up for our newsletter:","订阅邮件列表："
"Start","开始"
"Status","状态"
"Store","商店"
"Store View","商店界面"
"Subject","主题"
"Subscribe","订阅"
"Subscribed","已订阅"
"Subscriber","订阅者"
"Subscribers","订阅名单"
"Subscribers From","订阅表单"
"Subscription Options","订阅选择"
"Success Email Sender","邮件发送成功"
"Success Email Template","创建模版成功"
"Template Content","模版内容"
"Template Information","模版信息"
"Template Name","模版名"
"Template Subject","模版主题"
"Template Type","模版类型"
"Thank you for your subscription","感谢您的订阅"
"The subscription was successfully saved","成功保存订阅"
"There was a problem with the subscription","订阅出现问题"
"There was a problem with the subscription: %s","此订阅有问题：%s"
"There was a problem with the un-subscription.","此退订有问题。"
"There was an error while saving your subscription","保存订阅时出现问题"
"Toggle Editor","切换编辑器"
"Type","类型"
"Unsubscribe","退订"
"Unsubscribe Selected","退订被选择"
"Unsubscribed","已退订"
"Unsubscription Email Sender","退订发件人邮箱"
"Unsubscription Email Template","退订邮箱模版"
"View Newsletter","查看邮件"
"Website","网站"
"You have been successfully unsubscribed.","您已成功退订。"
"Your subscription was successfully confirmed","您的订阅已确认。"
"Sign up for our newsletter:","订阅我们的邮件:"
"Subscribe","订阅"
"Newsletter","邮件"
"Sign up for our newsletter","订阅"
"Newsletter Subscriptions","邮件订阅"
"Customer First Name","顾客名字"
"Customer Last Name","顾客姓氏"
"No problems found.","尚无问题报告"
"Template Styles","模版样式"
"Queue Newsletter...","加入队列"
"Newsletter Styles","邮件样式"
