"%s was successfully added to your shopping cart.","成功将%s加入购物车。"
"%s was added to your shopping cart.","成功将%s加入购物车。"
"&laquo; Back to Billing Information","&laquo; 返回账单信息"
"&laquo; Back to Select Addresses","&laquo; 返回选择地址"
"&laquo; Back to Shopping Cart","&laquo; 返回购物车"
"* Required Fields","* 必填项"
"Add New Address","添加新地址"
"Add New Condition","添加新状态"
"Add to Cart","购买"
"Add to Compare","比较"
"Add to Wishlist","收藏"
"Address","地址"
"Address %s of %s","第%s个地址，共%s个"
"After adding a product redirect to shopping cart","加入商品后转到购物车"
"Allow Guest Checkout","允许访客结帐"
"Already registered?","已注册？"
"An error occurred in the process of payment","支付过程出现错误"
"Apply Coupon","使用优惠券"
"Are you sure you would like to remove this item from the shopping cart?","您确认要从购物车中删除该商品吗？"
"Back","返回"
"Back to Shipping Information","返回配送信息"
"Based on your selection, you may be interested in the following items:","基于您的选择，您也许对以下商品感兴趣："
"Billing Address","账单地址"
"Billing Information","账单信息"
"Billing Information - %s","账单信息 - %s"
"Can not add item to shopping cart","无法加入购物车"
"Can not apply coupon code.","无法使用优惠券。"
"Can't open overview page","无法打开概述页面"
"Cancel Coupon","取消优惠券"
"Cannot remove item","无法删除商品"
"Cannot update shopping cart","无法更新购物车"
"Card Verification Number Visual Reference","信用卡确认码参考视图"
"Cart Subtotal:","购物车小计："
"Change","编辑"
"Change Billing Address","修改账单地址"
"Checkbox text","选框提示文字"
"Checkout","结帐"
"Checkout Conditions","购买条款"
"Checkout Options","结算选择"
"Checkout Section","结账单元"
"Checkout Terms and Conditions","结算条款"
"Checkout as Guest","以访客身份结帐"
"Checkout as a Guest or Register","以访客身份结帐或注册"
"Checkout method","结帐方式"
"Checkout with Multiple Addresses","使用多个地址结帐"
"City","城市"
"Click <a href=""%s"" onclick=""this.target='_blank'"">here to print</a> a copy of your order confirmation.","<a href=""%s"" onclick=""this.target='_blank'"">打印</a>订单"
"Close","关闭"
"Company","公司"
"Condition Name","条款名称"
"Condition was successfully deleted","成功删除条款"
"Condition was successfully saved","成功保存条款"
"Configurable product image","可设置商品的图片"
"Confirm Password","确认密码"
"Content","内容"
"Content Height","内容显示高度"
"Content Height (css)","内容显示高度 (css)"
"Continue","继续"
"Continue Shopping","继续购物"
"Continue to Billing Information","继续账单信息"
"Continue to Review Your Order","继续查看订单"
"Continue to Shipping Information","继续配送信息"
"Country","国家"
"Coupon code ""%s"" is not valid.","优惠券号""%s""不正确。"
"Coupon code ""%s"" was applied successfully.","成功使用优惠券代码 ""%s""."
"Coupon code was canceled successfully.","成功取消优惠券代码。"
"Create Billing Address","创建账单地址"
"Create Shipping Address","创建配送地址"
"Customer Address is not valid.","Customer Address is not valid."
"Data saving problem","数据保存问题"
"Default Billing","默认账单"
"Default Shipping","默认配送"
"Delete Condition","删除条件"
"Details","详情"
"Disable Onepage Checkout","禁用单页结帐"
"Disabled","禁用"
