"Reward information","积分信息"
"Account Balance","帐户余额"
"Change Balance","资金余额变化"
"Email notification","电子邮件通知"
"Transactions history","交易历史"
"Customer Reward","客户积分"
"ID","ID"
"Title","标题"
"Notice","注意"
"Spent","花费"
"Create at","创建于"
"Expiration date","失效日期"
"Expired","过期"
"No","没有"
"Yes","是"
"Store view","商店视图"
"Customer behavior earning","客户行为获得"
"Earning Configuration","盈利配置"
"Earning Points Action","盈利点行动"
"Action","行动"
"Give X points to customer","X型点给客户"
"Give X points for every Y amount of Price","Y量的价格为每给X型点"
"Give X points for every Y amount of Profit","每个Y量给X型点利润"
"select the type to earn points","选择类型获得积分"
"Max points earned by this rule","这条规则所获得的最高点"
"empty or zero is unlimited","空或零是无限的"
"Stop Further Rules Processing","停止进一步的规则处理"
"Example actions","操作的示例"
"Conditions","条件"
"Example conditions","例如条件"
"General information","一般资料"
"Rule Name","规则名称"
"Description","描述"
"Description of your rule shows in Reward Information page","规则说明积分信息页面中显示"
"Status","状态"
"Active","活跃"
"Inactive","暂无"
"Websites","网站"
"Customer groups","客户群"
"Validate from","从验证"
"From date","从日期"
"Validate to","验证以"
"To date","迄今为止"
"Priority","优先"
"Higher priority Rule will be applied first","首先更高优先级的规则将应用于"
"Catalog Earning Rule Information","盈利目录规则信息"
"General Information","一般资料"
"Actions","操作"
"Save Rule","保存规则"
"Delete Rule","删除规则"
"Save And Continue Edit","保存并继续编辑"
"Edit Rule ","编辑规则"
"Add Rule","添加规则"
"Website","网站"
"Customer Groups","客户群"
"Points","积分"
"Date start","日期开始"
"Date Expire","日期过期"
"Edit","编辑"
"Catalog Earning Rule Manager","盈利目录规则管理"
"Give X points to Customer","X型点提供给客户"
"Give X points for every Y money spent","每y花的钱给X型点"
"Give X points for every Y qty purchased","给每个Y购买数量的X型点"
"Apply To","套用至"
"Shopping Cart Earning Rule Information","购物车盈利规则信息"
"Shopping Cart Earning Rule Manager","购物车获得规则管理"
"Commission for Referrals","介绍人委员会"
"Fixed","修正"
"Percentage","百分比"
"Type","类型"
"Value","值"
"Points or Percent of Value referred","积分或价值的百分比称为"
"Discount for invited Friends","折扣优惠邀请朋友"
"Discount","折扣"
"Reward point","积分点"
"Only works when Coupon method is disable","只有当优惠券的方法是禁用"
"Fixed/Percentage","固定/百分比"
"Show Discount in","显示折扣"
"Only apply for Discount type ","只适用于折扣类型"
"Cart Page","购物车页"
"Product View Page","查看产品页面"
"Root","根"
"Image","图像"
"Recommend 200px-width image","推荐200像素宽度的图像"
"Coupon code Pattern","优惠券代码模式"
"Uses per Coupon","每张优惠券的使用"
"0 is unlimited","0为不限"
"Uses per Customer","每个客户的使用"
"Name","名"
"Attrib. Set Name","ATTRIB。设置名称"
"Visibility","能见度"
"SKU","SKU"
"Price","价格"
"Offer Information","提供信息"
"Categories","分类"
"Products","产品"
"Save Offer","除优惠"
"Delete Offer","删除出价"
"Edit Offer ","编辑提供"
"Add Offer","添加出价"
"Customer Group IDs","客户组ID"
"Delete","删除"
