"(eg: domain.com/identifier)","(例如：domain.com/identifier)"
"Action","操作"
"Add New Block","创建新模块"
"Add New Page","创建新页面"
"All countries","所有国家"
"Block Information","模块信息"
"Block Title","模块标题"
"Block was successfully deleted","模块已删除"
"Block was successfully saved","模块已保存"
"CMS","内容管理"
"CMS Home Page","内容首页"
"CMS No Route Page","没有内容导航页"
"Content","内容"
"Custom Design","自定义设计"
"Custom Theme","自定义模版"
"Custom Theme From","自定义主题自"
"Custom Theme To","自定义主题到"
"Customer Tax Class Information","顾客税种信息"
"Date Created","创建日期"
"Delete Block","删除模块"
"Delete Page","删除页面"
"Description","说明"
"Disabled","禁用"
"Edit Block","编辑模块"
"Edit Block '%s'","编辑模块：'%s'"
"Edit Page","编辑页面"
"Edit Page '%s'","编辑页面：'%s'"
"Enabled","启用"
"General Information","基本信息"
"Go to Home Page","回首页"
"Home","首页"
"Identifier","标识符（Identifier）"
"Keywords","关键字"
"Last Modified","最后修改日期"
"Layout","页面布局"
"Content Heading","内容标题"
"Layout Update XML","XML版面更新"
"Manage Pages","页面管理"
"Meta Data","Meta数据（用于SEO优化）"
"Meta Description","Meta说明"
"Meta Keywords","Meta关键字"
"New Block","新模块"
"New Page","新页面"
"Page Identifier cannot consist only of numbers.","页面标识符不能只含数字。"
"Page Identifier for specified store already exist.","输入的商店页面标识符已存在。"
"Page Information","页面信息"
"Page Status","页面状态"
"Page Title","页面标题"
"Page was successfully deleted","成功删除页面"
"Page was successfully saved","成功保存页面"
"Poll Manager","投票管理"
"Product Tax Class Information","商品税种信息"
"SEF URL Identifier","搜索引擎友好网址的标识符"
"Save Block","保存模块"
"Save Page","保存页面"
"Show breadcrumbs for CMS pages","显示CMS页面导航条"
"Static Blocks","模块管理"
"Status","状态"
"Store View","商店界面"
"Such a block identifier in selected store already exist.","选择商店的方框标识符已存在。"
"The page you are trying to save no longer exists","要保存的页面不存在"
"This block no longer exists","该方框不存在"
"This page no longer exists","该页面不存在"
"Title","标题"
"Unable to find a block to delete","没有找到要删除的方框"
"Unable to find a page to delete","没有找到要删除的页面"
"CMS","内容管理"
"Pages","页面管理"
"Design","页面设计"
"Submit","提交" 
"Cancel","取消"
"1 column","1栏式"
"2 columns with left bar","2栏式带左边栏"
"2 columns with right bar","2栏式带右边栏"
"3 columns","3栏式"
"Custom Design From","自定义设计生效时期"
"Custom Design To","自定义设计失效时期"
"Custom Layout","自定义页面布局"
"Custom Layout Update XML","自定义XML版面更新"
"WYSIWYG Editor","所见即所得编辑器"
"-- Please Select --","-- 请选择 --"
"Relative to Website Base URL"
"Create Folder...","创建文件夹"
"Media Storage","媒体管理"
"Storage Root","存储根目录"
"No files found","没有文件"
"Delete File","删除"
"Are you sure you want to delete the selected file?","您确定要删除选择的文件吗?"
"Insert File","插入"
"Delete Folder","删除文件夹"
