"Alert Email Sender","提醒邮件发件邮箱"
"Alert subscription was deleted successfully","成功删除订阅提醒邮件"
"Alert subscription was saved successfully","成功保存订阅提醒邮件"
"Allow alert when product comes back in stock","允许到货提醒"
"Allow Alert When Product Comes Back in Stock","允许到货提醒"
"Allow alert when product price changes","允许价格变化提醒"
"Allow Alert When Product Price Changes","允许价格变化提醒"
"Click here not to receive alerts for this product","点击这里已拒收通知"
"Error Email Recipient","报错邮件接收邮箱"
"Error Email Sender","报错邮件发送邮箱"
"Error Email Template","报错邮件模板"
"Frequency","频率"
"Not enough parameters","没有足够的参数"
"Please try again later","请稍后再试"
"Price alert Email Template","价格提醒邮件模板"
"Price Alert Email Template","价格提醒邮件模板"
"Price:","价格："
"Product Alerts Run Settings","发送通知定时设置"
"Product alerts Cron error","定时发送通知报错"
"Product not found","商品未找到"
"Product price alert","商品价格提醒"
"Product stock alert","商品库存提醒"
"Sign up for price alert","注册价格提醒"
"Sign up to get notified when this product is back in stock","此商品到货后通知我"
"Special price:","特价："
"Start Time","开始时间"
"Stock alert Email Template","到货提醒邮件模板"
"Stock Alert Email Template","到货提醒邮件模板"
"Unsubscribe from all price alerts","退订价格通知"
"Unsubscribe from all stock alerts","退订到货通知"
"You are receiving this notification because you subscribed to receive alerts when the following products are back in stock:","您之所以收到此邮件是因为您订阅了到货通知。"
"You are receiving this notification because you subscribed to receive alerts when the prices for the following products changed:","您之所以收到此邮件是因为您订阅了此商品的价格提醒。"
"You will no longer receive price alerts for this product","您不会再收到该商品的价格提醒"
"You will no longer receive stock alerts","您不会再收到库存提醒"
"You will no longer receive stock alerts for this product","您不会再收到该商品的库存提醒"
"Product Alerts","商品通知"
