"Cache Storage Management","缓存存储管理"
"Transactions","交易"
"Recurring Profiles (beta)","循环交易(beta)"
"Billing Agreements","支付协议"
"URL Rewrite Management","URL路径重写管理"
"Mobile","移动应用"
"Manage Apps","管理移动应用"
"Submission History","提交历史"
"App Submission History","App提交历史"
"Message Templates","消息模板"
"AirMail templates","AirMail 模板"
"Message Queue","消息队列"
"AirMail Messages Queue","AirMail 消息队列"

"Widget","内容插件"
"Refresh Statistics","刷新统计"
"Manage Currency","管理汇率"
"Custom Variables","自定义变量"
"Index Management","索引管理"
"Order Statuses","订单状态"

"Add Slide","添加幻灯片"
"Save Slide","保存幻灯片"
